       0                  Team                   Name          Gp   Min     Ppg     FGM     FGA     FG%     FTM     FTA     FT%    3pt Made 3pt Att   3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF
       29           Virginia Squires         Scott Fisher      54   19.1    11.1    4.3      8      .537    2.4     2.7     .877     0.1      0.5     .320    0.9     3.3     1.7     1.9     1.1     1.4     0.1      0
       29           Virginia Squires        Marques Johnson    50   31.2    14.5    6.1     12.4    .492    2.2     3.4     .649     0.1      1.1     .074    1.5     5.5     4.3     2.6     1.4     1.9     0.6      0
       29           Virginia Squires         Paul Millsap      50   29.2    14.2    5.3     10.7    .495    2.8     3.7     .751     0.8       2      .384    1.9     6.7     3.5      4      1.5     2.1     0.7      0
       29           Virginia Squires          Marc Gasol       2     3      6.5     2.5     2.5    1.000    1.5     1.5    1.000      0        0      .000     0       1       0       0       0       0       0       0
       29           Virginia Squires         Artis Gilmore     53   18.5    9.5     3.3     5.3     .620    2.9     4.1     .716      0       0.1     .167    1.6     5.7      1      3.1     0.3     1.6      1       0
       29           Virginia Squires          Kenny Sears      40   6.3     3.7     1.4      3      .466    0.7     0.9     .765     0.3      0.5     .526    0.5     1.4     0.6     0.6     0.2     0.3     0.3      0
       29           Virginia Squires         Robert Parish     52   27.9    11.1    4.6     7.9     .579    1.9     2.5     .769      0        0      .000    2.7     8.4     1.5     3.6     0.5     2.2     0.8      0
       29           Virginia Squires         Andy Phillip      54   15.6    5.1      2      4.4     .454    0.7      1      .714     0.3       1      .333    0.9     2.5     3.4     1.5     1.1     1.2     0.3      0
       29           Virginia Squires          Jeff Ruland      54   18.1    8.9     3.1     6.3     .485    2.7     3.6     .749     0.1      0.2     .250    1.7     6.2     1.1     2.6     0.5     1.3     0.4      0
       29           Virginia Squires         Rickey Green      54   14.6    6.4     2.7     5.6     .485    0.9     1.1     .793     0.1      0.5     .259    0.4     1.2      4      1.2     1.1     1.2      0       0
       29           Virginia Squires         Dutch Dehnert     32   4.7     2.3     0.9     1.7     .547    0.3     0.3     .889     0.3      0.4     .667    0.2     0.8     0.8     0.4     0.2     0.3      0       0
       29           Virginia Squires          Rich Kelley      11    7      2.4     0.8     1.7     .474    0.6     0.7     .875     0.1      0.2     .500     1      2.3     0.5     1.7     0.4     0.3     0.5      0
       29           Virginia Squires            Totals         54  240.9   124.4    46.6    92.8    .502    25.5    32.4    .788     5.6      15.4    .368    14.4    48.1    31.5    26.5    11.2    17.7    4.7      0
       29           Virginia Squires            DTotals        54   241    115.9    43.6    90.9    .479     24     31.1    .770     4.8      14.3    .335    12.3    42.6    29.2    26.9    10.6    17.9    5.9      0
       29                 Team                   Name          Gp   Min     FGM     FGA     FG%     FTM     FTA     FT%   3pt Made 3pt Att    3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF      ?
       30         New Jersey Americans     Jerry Stackhouse    54   33.5    17.5    5.6      12     .464    5.5     6.6     .830     0.8       3      .270    0.9     3.4     4.7     2.6     1.4     3.4     0.4      0
